,GlobalID,Detection Date,Notes,Lab Status,Lab Comments,Submission Date,Latitude,Longitude,FileName
2744,{7C7EE1A3-8D97-487D-9D6B-FCBB661B673A},2020-05-08, ,2, ,2020-05-08,48.54657,-117.90454,
5054,{E4F73227-E1F9-4D6D-9E3E-7BE636EC426D},2020-05-08,Orange aggressive bee/hornet,2, ,2020-05-09,47.563887,-122.01221,
4196,{BE25A743-8429-4354-87A4-BF4649CFA737},2020-05-08,"Flew inside, killed it.",2,Can you send us a photo?,2020-05-08,47.685672,-122.386464,
4762,{D6235473-DE0A-446B-8D3D-600EF20BE861},2020-05-08,On the path,2, ,2020-05-09,47.798052,-121.559044,
3831,{AB838B92-4BC2-47CE-9033-D6D2A8120D9E},2020-05-08,"I didn’t see the murder hornet. However, I just found a honey bee with its head ripped off on my front stairs. I have never seen this before at our home and wasn’t sure if it is related to the murder hornet issue.",2, ,2020-05-08,47.692788,-122.362586,
311,{0DAA9635-5897-47AD-8D85-2673885F0C11},2020-05-08,Inside sprinkler control outside of house,2, ,2020-05-08,47.648364,-117.184539,
3071,{8A7D2056-C928-4AEC-858C-FAD73A1BD39C},2020-05-08,"we had what we thought was a bumble bee land on our screen door.  Upon closer inspection it was 2 hornets mating, VERY large hornets.  Unable to photograph or capture.",2, ,2020-05-08,48.913255,-122.001694,
3086,{8B404C22-17EA-48D7-B5EB-69B4FE03DDD2},2020-05-08, ,2, ,2020-05-08,47.531865,-122.03164,
4236,{C011F557-1F8D-41C7-8865-E49FE2018A3A},2020-05-08,"We have been killing these at my cabin in eastern washington for the last 2 years, I sent a sample to some office in ORe. 2 years ago and never heard back",2,Please send us a photo if you can attain it safely!,2020-05-08,47.547755,-119.458072,
1189,{3536FDA1-19E4-4D33-A54A-5A6E33E75EC1},2020-05-08,"I cleared my lot line yesterday and an Asian Hornet was hovering in the corner of my covered area on my back porch. I do not have a photo, but there as no denying it!",2, ,2020-05-08,48.89047,-122.152721,
153,{07E3E554-466E-489A-951B-17082736EF75},2020-05-08,I work for the Stillaguamish Tribe of Indians and we operate a rotary screw trap on the mainstem Stillaguamish river (RM 6) to monitor outmigrating salmon populations. Today my crew found a suspected asian hornet in the trap.  It was cold due to being in,2,Could you please attempt to upload your photo again?,2020-05-08,48.205968,-122.266643,
2154,{625B0FDA-50CD-4C4C-BCD4-F4FF9173FC11},2020-05-08,"Found large hornet approximately 2inches long, at Flaming Geyser Park in Auburn, WA. It had all of the correct colorings, body measurements, and stinger size. The hornet was dead and was missing a wing. It was upside down in the picture, so it does not a",2, ,2020-05-10,47.276271,-122.039378,
2729,{7BC2BEAD-5CF2-4072-9714-78AF1451B3A9},2020-05-08,I know this is a horrible picture. Automatically taken by our wildlife camera.,2,Please attempt to upload your photo again.,2020-05-08,48.345613,-121.145297,
5308,{F291CF08-E961-4676-86F1-B7415460DD4D},2020-05-08,"Between 1-2 inches long. Heard loud buzzing and saw it flying around an open door of our house, about 5 feet from me, for approx 5 seconds. It had a slightly darker complexion than a yellow jacket but similar pattern. Have not seen this before around the",2, ,2020-05-08,47.141193,-122.927118,
3384,{978EC5AF-D5DC-4BE5-9D79-E9A0C194059C},2020-05-08,"Seens several times in Conway, Wa.",2, ,2020-05-08,48.34129,-122.34526,
282,{0CCAA991-C1F4-4E21-93B0-B421B931210F},2020-05-08,Large orange bee/hornet in backyard.  One chased me out of the yard.,2, ,2020-05-09,47.563671,-122.012172,
1236,{372B381D-2478-4B7C-AC00-02878635F849},2020-05-08,It came in through my window and I trapped it between the glass & the screen. I’m not sure where it came from.,2,Could you attempt to send us a photo?,2020-05-08,48.767306,-122.44893,
2007,{5B87BBF7-6A08-4DE1-83D3-D461BF5CA2C5},2020-05-08,Large yellow and orange bees. One chased me in the backyard.,2, ,2020-05-09,47.563887,-122.01221,
2700,{79E73976-2BF7-44B0-A7DE-0454F6A71551},2020-05-08,Found this afternoon in poulsbo wa,2,Please attempt to upload your photo again.,2020-05-08,47.757108,-122.663618,
4224,{BF8A9204-34E2-4A90-BA5F-343F6E9748FF},2020-05-08,"Tried to report once before, I think the photo didn't upload.  Trying again.",2,Please try again.,2020-05-08,47.685672,-122.386464,
5086,{E69E253F-E39D-49D0-97A4-334A1102FA70},2020-05-08,This was caught by my Ring doorbell.,0,"Thanks for the submission. That is hard to tell for sure, but it is a yellowjacket. Your county is Negative for Asian giant hornet.",2020-09-25,47.59716,-122.618465,ATT3057_47AC09C1-D65F-4B81-9A4F-995059F7DA7E.jpg
1113,{3246BF6F-80D7-4270-9AD2-101B745DE185},2020-05-08,Spotted what might be a Murder Hornet at Sauvie Island,2, ,2020-05-08,45.7165,-122.80121,
3137,{8D27F6A9-5BFE-42E1-B0A5-4DCE96FF76B1},2020-05-08,"We didn’t get a picture, but a large insect landed on my leg and my first thought was that it was an Asian Giant Hornet. I know this is likely not helpful, but felt like i should note it just in case.",2, ,2020-05-08,47.256573,-122.472335,
5414,{F766D086-08B9-40D4-9A28-DC57175E0503},2020-05-08,Someone working on my protest reported seeing a few. I had seen regular hornets a few days before buT WAS NOT PRESENT WHEN THESE WERE SEEN. NO PHOTO WAS TAKEN AS THE INSECTS WERE ACTIVE,2, ,2020-06-23,48.971345,-122.719989,
5218,{EEB52643-EC6E-4C95-A992-00B8A61D5DB7},2020-05-09,"It continues to return to our kitchen window. Huge, at least an inch long. Haven’t seen the backside but protruding mandible looks like Asian hornet.",2, ,2020-05-09,47.108943,-122.936944,
3369,{96A15FDA-01F1-4394-8569-B725D331FF46},2020-05-09,There appears to be an asian hornet in our house.,2, ,2020-05-09,47.588348,-122.24509,
653,{1D2AEEB7-448F-4750-86A4-E300D0DB298D},2020-05-09,About 2” long with abdomen roughly 1/4” wide. Mostly black.,2, ,2020-05-10,47.731662,-122.201244,
5400,{F6C96A97-2E34-454F-8F7E-866168411D4A},2020-05-09,Flying around porch light at night.,2, ,2020-05-09,47.016371,-122.785338,
116,{05AD5D8D-B2C6-4462-81B5-906BF3E3E00D},2020-05-09,"Kinda yellow, so think it may be a bald-faced hornet, but wanted to be sure.",2, ,2020-05-09,47.582244,-122.383548,
1128,{32FC433E-A630-404C-B156-A5D97EE53048},2020-05-09, ,2, ,2020-05-09,47.945295,-122.098275,
1504,{43FD9753-0FDF-4E96-9103-AFF69F09C571},2020-05-09,"Updating my report from earlier today. We just saw the insect again, and snapped a picture this time. Fairly certain it is actually an Elm Sawfly.",2,"Ok, thank you for the follow up.",2020-05-09,47.256559,-122.47259,
1779,{51822521-561C-4ADD-A419-186195205DCD},2020-05-09,Flew in open patio door. Poor camera on phone unable to take picture. Left screen door open went to get wasp/hornet spray. When I came back have not seen; could have flown out open deck door.,2, ,2020-05-09,47.445472,-122.287881,
4903,{DD6E01F3-C9E3-45FA-817A-E4BCDFC37AAC},2020-05-09,Large 2 inch reddish insect struggling on ground thought was termite turned over before it was able to fly away abdomen had yellow and  black stripes,2, ,2020-05-10,47.793138,-122.276812,
4778,{D74B6DE0-E61B-4C3B-80A7-B7E5877B9FD3},2020-05-09,We found this hornet dead on our deck...I believe our dog got it...not sure if it is a Murder hornet or not,2, ,2020-05-09,47.890858,-122.15857,
185,{0961886F-A56F-48FE-BCD3-8F87F30C1CE6},2020-05-09, ,2, ,2020-05-09,47.628382,-122.088476,
1422,{402CDD28-75BB-4531-A7F8-F4D5ACCC736B},2020-05-09,The hornet was found in our daughters’ play area- a ravine. He was hovering on the ground. My daughter was suspicious that the pest had a wing injury because it was not flying- the children almost stepped on it when the realized its presence. My husban,2, ,2020-05-09,47.420014,-122.438596,
3186,{8F665D24-255E-49F2-B0FB-51D25799BD38},2020-05-09, ,2, ,2020-05-09,47.854597,-121.926726,
4299,{C20E4839-6390-4CF8-B9F4-3FF53CE1EAA6},2020-05-09,Saw this outside my house and wanted to report because it looks like the Asian hornet.,2, ,2020-05-09,48.960562,-122.443451,
1518,{44E31EA2-8F3A-4D21-A0F8-6E9E803FA8D2},2020-05-09,One Asian Giant Hornet entered through an open window on the NW side of the house on the 2nd floor. The hornet was stuck between the blinds and the window. It was much more aggressive than the nice Paper Wasps that hang out in our yard (but the Asian Gia,2, ,2020-05-10,47.571801,-122.058107,
1723,{4DD88B6C-6027-4F3F-9FB3-7A6CE74D51F9},2020-05-09,Biggest hornet I've ever seen was buzzing in my garden shed.  The picture is a little fuzzy; it looked like it was about 2 inches in size.,2, ,2020-05-10,47.64321,-117.142029,
3638,{A2BAA525-8B37-4B26-AF7B-649C1CD85569},2020-05-09,We saw what we think was the asian giant hornet on a tree by a dock at lake sawyer in black diamond. I have more pictures but it was hard to safely get a good quality picture from different angles.,2, ,2020-05-09,47.328075,-122.039486,
136,{071590E5-2F12-4BED-BBDB-E4E208579D0A},2020-05-09,"Orange in color, stinger in tact, orange face, black ""eyes""",2, ,2020-05-10,46.190344,-122.911506,
3215,{9176BE06-376F-4871-AA10-F128CCEEA9F0},2020-05-09,Began seeing these yesterday. Unsure if they were this kind. But they are BIG and orange. Near house/ wooded areas,2, ,2020-05-09,48.98383,-123.063558,
5592,{FF04E45B-878D-4CFB-986C-516CEB870692},2020-05-09,"A large, 2 inch hornet relating almost exactly to this description (and also the murder hornets that have been in the media lately) knocked into my patio window at the time stated above. It lingered only for a couple seconds before it flew away so I wasn",2, ,2020-05-11,47.618391,-122.191666,
3218,{9185418C-2E70-44B1-ACBB-23C7E1660EE7},2020-05-09,"Found on my lawn.  Never seen before.  close to 2"".  However the face doesn't seem to match the pics I've seen.  I have the speciman preserved in Alcohol.",2, ,2020-05-09,47.771676,-122.578243,
3697,{A4B76680-7ED0-472F-8B9A-E83F3045D2AF},2020-05-09,"Trapped it between the glass and screen of the door, but it found a crack before I could take a photo after felt like I had positively identified it.",2, ,2020-05-09,48.187914,-122.127003,
4343,{C3E58D2F-36A5-42D9-8A59-D07BA088AF1B},2020-05-09,"I didn’t take a picture because I ran away, but I am 99% sure that the pictures I’ve seen of the Asian giant hornets (and nothing else) match up with what I saw.",2, ,2020-05-09,47.48279,-120.327216,
304,{0D8A737F-7F89-493B-8F0A-15D461DE4C9A},2020-05-09,"On May 8, 202o I observed an Asian Giant hornet fly around my back yard and land on my fence. Initially, I presumed it to be a regular bee, however it's unusually large size caught my attention. Upon further inspection I noted the large black and yellow",2, ,2020-05-09,47.70249,-122.626208,
2996,{87CD019E-B927-4A68-87A6-38F0B1E1B0ED},2020-05-10,"I saw a very large hornet in our yard.  I do not know if it was a killer hornet, but it was very large and have not seen one here before today.",2, ,2020-05-10,48.202842,-122.310685,
1684,{4BE4BFF8-BAEF-4164-ACA3-0842EFAB0F46},2020-05-10,Costco parking lot in sequim,2, ,2020-05-10,48.07875,-123.12615,
4835,{DAABC526-863F-401C-B542-D6DD102B7012},2020-05-10, ,2, ,2020-05-10,47.62986,-120.68945,
4435,{C898151F-1DF2-4B10-81C6-CC48BE003938},2020-05-10,Found this dead insect today it is decomposed so no idea what it really is.  I collected it in a jar.,2, ,2020-05-10,47.497239,-122.376487,
5095,{E6F2F8A2-5612-40A8-BAC4-CAABFE708AE5},2020-05-10,Have in a container and picture,2, ,2020-05-10,47.512323,-117.721467,
5356,{F4BAE5DD-31B5-40C6-A3AF-8E400489F9D4},2020-05-10,"Found in our beach house after leaving several doors open. All the windows are 2 feet by 2 feet. Looks like it might be an inch and a quarter or an inch and a half. We were leaving today anyway, so we plan to just close all doors and have leave it in the",2, ,2020-05-10,48.008461,-122.568649,
1761,{50A37E9A-96A6-40CF-8BD7-82CD5D5CB5B5},2020-05-10,Sitting on back porch - what we thought was humming bird flew by very fast but it was a large insect with a large orange head. There were honey bees swarming about quarter of a mile away from sighting. Sorry no picture.,2, ,2020-05-12,47.653198,-121.91749,
817,{23A819C1-3CD5-40FD-BE63-E9F9649D9F88},2020-05-10,"Guemes Island @ about 1300hrs one landed hard on the table on my deck, saw it from its topside & flew south. After verifying with photos it was definitely Asian hornet. Happened too quick to get photo.",2, ,2020-05-14,48.570304,-122.648863,
4861,{DBD031C3-15DE-4754-8687-DDEEF5BEDB00},2020-05-10,It was 1-2” in size.,0,This is an immature cicada,2020-05-15,46.053309,-122.042238,ATT173_63A90F82-F9F9-409C-9FB1-97A41C12BB4D.jpg
2077,{5EE2790B-F362-4853-90A7-10C6576B80B3},2020-05-10,"Oh hey, I am the kitsap person with the hornets from last year. I forgot to leave my contact info. here it is. I get back to email within minutes. Sorry about that",2,Thank you. We'll be emailing you very soon.,2020-05-10,47.417355,-122.637451,
4171,{BCCB63FB-09EF-42F0-B0DF-9B8DA4A1AAB2},2020-05-10,Riding my bike with my daughter I think I saw a big hornet bee... it was flying around us so I decided to ride my kid first before to take a picture. It looks bigger than a normal bee like my finger size,2, ,2020-05-10,47.623028,-122.202568,
641,{1CAC3D32-E4E4-4303-A6AE-C086CF3C9734},2020-05-10,"My daughter's just saw one at the Walmart in Clarkston, WA. They identified it by a picture online. My daughter said it was 'freaky big.' They didn't think of pictures because of it being mother's day and being in a hurry to get back. But, my daughters a",2, ,2020-05-10,46.423105,-117.042043,
4340,{C3CF6472-BD49-4285-B013-49483E0587BC},2020-05-10,I saw this about an inch and a half long laying on its back on the sidewalk behind my house. Looks exactly like the pictures online. I thought it was a beetle. These pictures are taken right after I smushed it. Feel free to call or email me also 206-681-,2, ,2020-05-10,47.137752,-122.321871,
2220,{6503D1D6-2171-4DEF-96DD-ECEF78A655BF},2020-05-10,"Found dead in my parents driveway in Olympia, WA",2, ,2020-05-10,47.162526,-122.810227,
3256,{92D17D4D-3251-410E-B1B0-5AA9BECA9678},2020-05-10,My neighbor captured a hornet in a plastic container and brought to me to discuss. I’ve attached picture. Neighbor still has the hornet if you want to collect and confirm identification.,0,"This is a native sawfly, with its cute, clubbed antennae.",2020-05-12,47.268189,-122.471635,ATT149_C513FE08-9729-49DB-85BC-4684F823F5B8.jpg
4337,{C3A16D90-56AA-4037-85AC-E3E3B73CA1E4},2020-05-10,Not sure if it's an Asian hornet or bald faced hornet so I figured I'd let you guys determine that,2, ,2020-05-10,48.746531,-122.427553,
2293,{67602103-F3F0-4C65-943D-A65E3D9D9962},2020-05-10,"Spotted one in caught in mesh over a garden bed. It got away before I could get a photo, but it had an orange head and was about an inch long.",2, ,2020-05-10,47.511729,-122.029164,
1026,{2E307A21-3D71-4F70-B7C5-5D14D37B7C95},2020-05-10,"Big hives of bees/hornets, I don’t know what they were but really big cloud and very loud flying over our house.",2, ,2020-05-10,47.62986,-120.68945,
3714,{A59DFDDB-8292-4D19-A560-23AEE0396FB8},2020-05-10,"A large hornet is building a nest on an outsider light.  It's the biggest hornet I've ever seen, definitely more than one inch.",2,Asian Giant Hornets make their nests in the ground.,2020-05-10,47.091118,-122.682562,
3109,{8C158665-E406-4213-B86B-D89BBB5C1EA7},2020-05-10,Near a beehive,2, ,2020-05-10,47.035506,-122.900333,
374,{10935A53-BC63-4AB4-A4F2-65922787A768},2020-05-10,My husband and I saw this very large bee on the Stimson trail near the Geneva pond site on the lake Whatcom side. It was about 2 “ long and it’s wings were about an inch long. I have a photo but was unable to download it to this site.,2, ,2020-05-11,48.671553,-121.275845,
1029,{2E45994B-8039-49ED-BDC5-DECA380347B8},2020-05-10,"Second observation.  First observed 4 weeks ago.  Tried to trap in bucket but was not successful.  Saw another today at 1600 hrs.  Did not look like any local wasp.  It was much larger, 1 1/2 - 2 inches, black body with orange strips.  Not able to get a",2, ,2020-05-10,47.907658,-122.678874,
1281,{39933C38-C111-41DE-BA56-9ADF8C7A95C3},2020-05-10,found on the boom of our sailboat once lowering the boom...killed and kept it just in case it was,2, ,2020-05-11,48.670776,-122.556451,
3772,{A98ED7C1-8961-4110-B463-18028950CF2E},2020-05-10, ,2, ,2020-05-10,47.62986,-120.68945,
929,{29166E2B-1747-4878-9F20-1ADEEB12DE02},2020-05-10,I was walking with my kids by Ardmore Park yesterday and Saturday and both days I saw them in the same spot.,2, ,2020-05-12,47.635832,-122.113291,
3439,{99B2A723-1B65-4BA0-ABAE-91542A8CF15F},2020-05-11,it seems pretty mad and really looks like it,2, ,2020-05-11,48.75235,-122.47122,
5157,{EB17DAE4-6397-4E44-A6CD-E7D58DA60020},2020-05-11,I had seen another one in my neighborhood in April.  Sorry no photos but smashed it.,2, ,2020-05-16,47.510271,-122.020286,
2932,{84B44BF3-9A63-4A3E-A1D1-AFAC41FC0AEC},2020-05-11,"2"" or larger hornet came to hummingbird feeder at dusk. Unable to see colors",2, ,2020-05-13,47.742147,-117.468168,
2326,{68D64F48-5C75-4C16-B83D-13A9CA96C2A2},2020-05-11,"Dont know if its the killer bee or not, it was about 1 in long",0,This is a robber fly in the genus Laphria. Robber flies feed on other insects and cannot sting!,2020-05-21,46.486978,-122.508845,ATT223_inbound7003344118638298110.jpg
2100,{5FA8607B-FB71-4AF3-A919-657ACBBCE1AC},2020-05-11,I took this picture on our front sidewalk May 11. I saw the news today and it looks like it may be worth submitting.,0,Thank you for your submission. This is a native Cimbex sawfly.,2020-05-29,47.451177,-122.599167,ATT297_0B804271-183E-4CD9-9F36-A78BAA3FB7ED.jpg
1714,{4D9F3C91-046E-4931-A8D5-6986B8781848},2020-05-11,Inside garage,2, ,2020-05-11,47.68781,-122.669589,
4062,{B700D679-7205-4E34-BA48-DFE9C23AF83F},2020-05-11,"I am a 48 year old Washington state native, I am not allowed to carry a camera phone at work so i have no photo, however this was an easy ID to make considering the size and color of the insect. I had a co worker with me who can verify the incident.",2, ,2020-05-12,47.732628,-122.7303,
3715,{A5EBE786-D1B0-4EB2-98E7-E22E9445E63A},2020-05-11,I have other photos if needed. It is a large bee with striping on its body that matches the photos. Last night on our security camera there was a swarm of insects that were traveling together intentionally. I’ve never seen anything like it and this mor,2,"Yes, please upload a photo(s)",2020-05-11,47.565472,-122.135335,
4857,{DBB3CD22-F603-4E7B-BA51-053FCE6459D8},2020-05-11,A friend spotted this a little over a week ago,0,This is a robber fly in the genus Laphria. Robber flies feed on other insects and cannot sting!,2020-05-21,46.52948,-122.48446,ATT221_310E2A2C-7C33-499B-B45D-74E45ED77040.jpg
4455,{C92FF96E-9EB1-429C-BB78-8F92D42BCA47},2020-05-11,Spotted flying across yard back and forth into bushes.,2, ,2020-05-11,47.191265,-122.565487,
4648,{D20832E6-50C5-473F-96ED-C5E227D15BC5},2020-05-11,"I couldn't get a good look because it was flying, but I saw what looked to be a wasp or hornet over an inch long.",2, ,2020-05-11,47.637093,-122.189329,
3223,{91CBB1D8-643F-4BEE-A181-79A9BC604563},2020-05-11,Elm st Bellingham Wa in my apartment,2, ,2020-05-11,48.764023,-122.488434,
2265,{66434C91-71CA-43A4-A7CA-F8B492704E6D},2020-05-11,Hello. We went to Mt. Baker for mothers day today and couldn't help but notice when we got back into the car we saw a very large bee (bigger than any we've seen) on our car window for about 3 seconds. We didn't have enough time to take a picture or reall,2, ,2020-05-11,48.776223,-121.820152,
567,{190654D3-FFF5-44E4-9B40-4779FA2F92E6},2020-05-11, ,2, ,2020-05-11,47.385209,-122.044826,
5096,{E708056B-98C6-42D1-B349-DCEC8F96CF70},2020-05-11,large hornet tired out after being stuck in my atrium all day. caught in cup and released in back yard. had seen it 2 nights ago on the fence.,2, ,2020-05-11,47.459452,-122.357655,
604,{1B8EC286-4655-4927-9B08-D76738869233},2020-05-11, ,2, ,2020-05-11,47.10236,-122.58724,
1703,{4CB7833B-57AF-4542-9BEB-C4308CA42D82},2020-05-11,I noticed a honey bee in my house last week and this huge hornet this week,2, ,2020-05-11,48.764641,-122.488421,
2559,{73E2BA93-DD14-485C-95AA-44B4C90C0053},2020-05-11,I have a friend who works as a grounds keeper at the Desert Canyon golf course in Orono Wa. He has been attacked by these hornets several times. He said he noticed them around this time last year. There are several elderly people who live on the course a,2, ,2020-05-11,47.72175,-120.18405,
3984,{B2A5DFF0-D6E4-4F9D-AE65-408DCFC6D2CA},2020-05-11,"Found poss carcass or shed at puyallup river trail, Sumner side. Also lots of holes in ground poss nest?",2, ,2020-05-11,47.62986,-120.68945,
4191,{BDBB22C5-8F84-4A7E-A788-7ECBACE6CD01},2020-05-11,"This is the 2nd one in 24 hours that I have seen and killed in my front yard. The two stayed within the area throughout the day and stayed mainly low to the ground (grass, driveway and fallen leaves). The first one I squished pretty good and was hard to",2, ,2020-05-11,47.353364,-122.211859,
3191,{8FA0BCDB-525E-45C4-99F5-47C69EA30795},2020-05-11,"Loud, trying to climb grass blades but weighing them down instead. Only one, about 2 inches long, yellow legs.",0,That's a Cimbex sawfly. Note the clubbed antennae.,2020-06-04,47.675314,-122.685149,ATT358_WP_20200511_14_37_49_Pro.jpg
2857,{80E955EB-00C7-4640-B6AA-9773C8503D16},2020-05-12,"Extremely large, feeding from flowers on our patio.",2, ,2020-05-12,48.154061,-122.336601,
5439,{F8DEFC50-89AA-4262-B7CA-40596FBE3FE3},2020-05-12,"Found this hornet, dead, in our animals water dish. We are located in Chewelah, Washington in the northeast part of the state.",0,It sure looks like a chewed grasshopper.,2020-05-12,48.260485,-117.749912,ATT152_20200512_153634.jpg
4104,{B963DBF2-E1D9-45CC-AE8C-535726FD463E},2020-05-12,"Very large dark insect hit my sliding glass door several times. I look up and see this huge insect hitting my door. It flew south & happened so fast I didn't get much detail. I've never seen anything so huge like 2"" long or so & big dark head",2, ,2020-05-12,47.800476,-122.373598,
2650,{77E72D82-CB2A-4D25-87E6-9656479B229E},2020-05-12, ,0,This looks like a partial Odonata; dragonfly or damselfly.,2020-05-12,47.00379,-123.40382,ATT153_0512201623.jpg
1870,{55B93ECA-6B02-415B-BBAF-158A9B287B7C},2020-05-12,Large dark hornet in my gazebo netting,2, ,2020-05-12,48.054142,-122.156769,
4482,{C9FDE868-2423-4484-8B02-C60B7EF9DF89},2020-05-12,"spotted three with yellow faces and yellow stripe about two inches on the wetlands path of Douglas Carter Fisher Park in Vancouver, WA",2, ,2020-05-15,45.660528,-122.619079,
2815,{7F4C95F9-8F1E-4CE8-92AF-A933E22B51BD},2020-05-12,"Very large, dark body, bright face.",2,It is very difficult to tell what insect is.,2020-05-12,48.054153,-122.156647,ATT148_IMG_20200512_104724.jpg
4252,{C07FC467-8CAD-4A95-B48E-16EAF04ABD55},2020-05-12,"Found three, only one of which appeared to be alive, inside one of our sprinkler system boxes.",2, ,2020-05-12,47.675517,-117.095459,
2348,{69CB8F8E-1828-419C-A03E-E559211FD7BF},2020-05-12,I’ve seen a lot of bees. I spend a lot of time hiking in the woods. I am 99% positive that it is the Asian giant hornet. I have no photos,2, ,2020-05-14,47.378451,-122.944577,
1458,{421EE892-BC0E-49A4-AE60-CAC06A224B13},2020-05-12,"1.5"" long.  On outside of my car window.  Held on 1/2 mile in strong wind.   Eastsound, WA - Orcas Island   Is it the Asian Giant?",2, ,2020-05-12,48.702931,-122.911457,
4186,{BD643C9E-E5E4-4B12-98FF-919F8D84D374},2020-05-12,"loud buzz. Landed on my shed, where the little blue fuzzy bees like to hang out.",2, ,2020-05-12,48.927932,-122.137019,
4499,{CAE134DF-A46F-4707-AC92-59BF287D224C},2020-05-12, ,2, ,2020-05-12,48.755202,-122.613553,
3898,{AE9E8D34-2417-4F0F-9E3E-B680B48A9BD0},2020-05-12,97th and Roosevelt Seattle WA 98115,2, ,2020-05-12,47.700118,-122.317628,
3633,{A250A974-215C-482C-9632-1B3ACCF750F1},2020-05-12,We have captured a very large hornet that was in our house it is still alive under glass,0,Looks like you've got a bald-faced hornet.  ,2020-05-12,48.040075,-122.42349,ATT151_972FEC9D-7B18-4818-A507-4915A33B64E2.jpg
271,{0C852A4E-8ADD-46D1-8895-D8D9305D03AB},2020-05-13,I was indoors when i heard a loud thud on the window and saw a very large hornet.,2, ,2020-06-15,48.725687,-122.489292,
1203,{361ED665-26DC-4E76-9C4D-F27E37156B20},2020-05-13,Dead on our window sill,0,That amazing pollinator is a fly that is a bee mimic!,2020-05-13,47.470068,-121.747172,ATT163_1533CA16-96F3-44E0-B4BA-4EFE4A21F0D4.jpg
2684,{79593AD4-D8F9-42AD-A56C-C8006EE5C083},2020-05-13,Found dead on a steel truck.,0,That is a native Elm sawfly,2020-05-13,47.617465,-122.333842,ATT159_06F0BC16-695A-4B24-8D30-5DAD604392D0.jpg
3526,{9D8D015E-F17C-49C1-BB33-6BA91CD34F48},2020-05-13,We have seen them 2 times on Rosario Crest Lane 98221,2, ,2020-05-30,48.421249,-122.664484,
892,{27D48621-8C7D-4F96-8C16-EFA764D765E0},2020-05-13,It was eating the wooden sign.,0,"That is a beautiful bald faced hornet, chewing wood to make its nest!",2020-05-13,47.59173,-117.41351,ATT162_IMG_2882.jpg
1001,{2CE88ACB-6B4B-4357-91F1-813D079B5057},2020-05-13,They were not shy,0,You've got a yellow jacket there.,2020-05-13,47.918493,-122.099645,ATT154_20200512_180734.jpg
1402,{3F38AF5B-E2CA-4771-AECF-2291773C9198},2020-05-13,Flew into my car on my way to work was about 1 inch and some change long and dark orangne,2, ,2020-05-13,47.151494,-119.28453,
1665,{4AFECC2C-E471-42CC-93E3-75D6EE69A42A},2020-05-13,"1-1/2 to 2” long, hovered near our window for a minute but flew away before we could get the camera",2, ,2020-05-13,47.879027,-122.003319,
1291,{39FFB125-75E0-4317-A4F3-260CDC06A030},2020-05-14,"I was at Point Defiance, adjacent to the pavilion near the rhododendron garden when the possible Asian hornet passed me.  This is by no means a positive identification.  What I saw was a large flying insect that appeared light orange.",2, ,2020-05-14,47.30775,-122.523616,
4183,{BD522791-708B-4E9B-9225-64016C6A42D5},2020-05-14, ,0,"That is a Cimbex sawfly. He's harmless, it's ok to let him go.",2020-05-14,47.2022,-122.24,ATT169_6749197B-7C86-40ED-A81C-80664550E947.jpg
4688,{D3A8553C-5770-4D61-B320-F399D9FD502D},2020-05-14,Never seen in 46 years of gardening in this property,0,Looks like a sawfly - Trichiosoma triangulum ( 91),2020-05-14,48.137842,-122.792983,ATT168_419289CD-1719-4A34-99D1-E5D0DEE0C00B.jpg
3574,{9F5E8DE6-2505-4EF9-BDAD-DB1D26F1CA54},2020-05-14,Lutz Florida,2, ,2020-05-14,47.62984,-120.68945,
2962,{85EFF589-E50D-49E7-A272-6864425FED7D},2020-05-14,This giant bee was dead on the side of the road in our neighborhood. It is quite large but can’t tell exact coloring.,0,That is a sawfly.,2020-05-14,47.451139,-122.267277,ATT167_714AC973-EAA0-462B-937F-006808560806.jpg
1242,{37CABA69-C18F-49F8-B635-30527B27DF75},2020-05-14,Found it dead in the driveway today. It is hollowed out and may have been bleached by the sun.  Never saw anything like it b4.,0,That is a native elm sawfly.,2020-05-14,48.237543,-122.156276,ATT171_IMG_0462.jpg
5146,{E9E63212-6325-4377-A8F2-5FE569399FF7},2020-05-14, ,2, ,2020-05-14,47.183252,-122.203503,
1695,{4C3E63E3-F727-4BB0-B346-D367BE02246B},2020-05-14,Was on my back porch and saw my puppy bouncing around something huge and yellow. Took a closer look and realized it was a wasp and immediately took him in. It’s been raining so it couldn’t fly so was able to get close. It was over an inch long. I too,2, ,2020-05-14,48.112215,-122.172661,
2097,{5F8F1A3B-EF16-4F1C-951E-581C40EC588A},2020-05-14,"Outside gardening when I saw a giant hornet (2 inch) come up to a honey bee and attacked it in the air, took it down to the ground and continued attacking it. I caught it for a moment but it got away so quickly.",2, ,2020-05-15,48.421451,-122.666603,
3093,{8B82354E-FA2F-40D9-A1AA-087FF730F9D6},2020-05-14,Large hornet similar in shape and color to Asian hornet cane through my sun roof and landed on my lap.,0,"That is a native sawfly, probably Trichiosoma triangulum.",2020-05-14,48.75235,-122.47122,ATT166_BAB8AF68-4B9A-4A1B-B077-EBAC07B29070.jpg
3661,{A33354EB-C2AB-4DFA-AB5A-DE65FAAC874A},2020-05-14, ,2,There's no way we can identify that insect definitely.,2020-05-15,47.574972,-117.678159,ATT174_trim.B1F11C96-C2F8-4401-AC39-E41EC93ED758.MOV
